week,board,rank,skill,owner_repo,installs,captured_at
2026-W27,trending_24h,85,image-to-video,doany-ai/skills,5500,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,89,controlnet-pose,runcomfy-com/skills,5500,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,93,runcomfy-cli,doany-ai/skills,5500,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,94,relight,runcomfy-com/skills,5500,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,95,wan-2-7,doany-ai/skills,5500,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,96,ai-image-generation,doany-ai/skills,5500,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,97,ace-step,doany-ai/skills,5500,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,98,ai-image-generation,runcomfy-com/skills,5500,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,99,ai-video-generation,doany-ai/skills,5400,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,100,flux-kontext,runcomfy-com/skills,5400,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,101,image-outpainting,runcomfy-com/skills,5400,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,102,gpt-image-edit,runcomfy-com/skills,5400,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,103,elevenlabs-music-generation,doany-ai/skills,5400,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,104,grill-me,mattpocock/skills,4900,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,105,just-scrape,scrapegraphai/just-scrape,4800,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,106,sleek-design-mobile-apps,sleekdotdesign/agent-skills,4400,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,107,grill-with-docs,mattpocock/skills,4400,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,108,design-taste-frontend,leonxlnx/taste-skill,4400,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,109,grilling,mattpocock/skills,4300,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,110,agent-browser,halt-catch-fire/skills,4200,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,111,tdd,mattpocock/skills,4200,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,115,github-actions-docs,xixu-me/skills,4000,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,120,ai-research-explore,lllllllama/rigorpilot-skills,3900,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,121,openclaw-secure-linux-cloud,xixu-me/skills,3900,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,127,analyze-project,lllllllama/rigorpilot-skills,3900,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,128,tzst,xixu-me/skills,3900,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,129,setup-matt-pocock-skills,mattpocock/skills,3900,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,130,domain-modeling,mattpocock/skills,3900,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,131,ai-research-reproduction,lllllllama/rigorpilot-skills,3900,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,140,to-issues,mattpocock/skills,3900,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,147,hyperframes,heygen-com/hyperframes,3700,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,148,diagnosing-bugs,mattpocock/skills,3600,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,149,hyperframes-media,heygen-com/hyperframes,3600,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,154,research,mattpocock/skills,3600,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,155,motion-graphics,heygen-com/hyperframes,3600,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,161,triage,mattpocock/skills,3600,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,162,website-to-video,heygen-com/hyperframes,3600,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,171,ask-matt,mattpocock/skills,3500,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,172,frontend-design,anthropics/skills,3200,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,173,high-end-visual-design,leonxlnx/taste-skill,3200,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,174,redesign-existing-projects,leonxlnx/taste-skill,3100,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,202,minimalist-ui,leonxlnx/taste-skill,2900,2026-07-05T09:14:36.826932+00:00
2026-W27,trending_24h,203,brandkit,leonxlnx/taste-skill,2900,2026-07-05T09:14:36.826932+00:00
